longitude,latitude,height,gravity
128.63787250000001,-25.8916495,602.7950000000001,978843.94
128.688851,-25.903399,601.3199999999999,978844.56
128.7622335,-25.9037365,612.8199999999999,978845.595
128.825466,-25.903395,626.22,978844.38
128.900105,-25.90516,640.76,978849.31
128.978408,-25.91016,643.06,978850.5
129.00451,-25.894596,646.53,978851.62
129.087109,-25.907767,656.755,978854.5349999999
129.160727,-25.926476,670.095,978857.595
129.2424935,-25.90842,669.26,978858.56
129.298606,-25.912398,678.895,978857.4650000001
129.384187,-25.905181499999998,692.72,978852.37
129.437466,-25.892453,684.93,978847.12
129.5279145,-25.924198,711.26,978844.905
129.560205,-25.89148,696.97,978844.31
129.635425,-25.923532,704.38,978843.19
129.69972,-25.9117285,693.325,978843.095
129.778625,-25.9100555,704.365,978839.345
129.838334,-25.911081,717.755,978839.155
129.8995395,-25.909018,724.33,978841.5
129.97883000000002,-25.909863,728.015,978840.44
130.031978,-25.925491,735.2349999999999,978835.56
130.098129,-25.908178499999998,710.175,978827.94
130.17706099999998,-25.907833500000002,700.31,978815.31
130.2377855,-25.907891,687.6700000000001,978806.2150000001
130.297676,-25.906786,675.0699999999999,978799.905
130.377224,-25.906311000000002,665.515,978785.81
130.43867999999998,-25.905996000000002,662.325,978779.345
130.498149,-25.895594,666.32,978773.62
130.559418,-25.887681,670.36,978768.69
130.636562,-25.902656999999998,668.79,978767.75
130.69842649999998,-25.902259,679.72,978764.4650000001
130.757919,-25.898582,694.74,978758.19
130.838856,-25.899831,707.86,978754.5349999999
130.88708100000002,-25.897115,673.0350000000001,978758.595
130.977061,-25.8989295,675.435,978754.595
131.03761300000002,-25.898404499999998,696.635,978749.5
131.11328550000002,-25.8842135,663.02,978753.405
131.1618335,-25.8780235,633.6800000000001,978756.75
131.225648,-25.902697,616.565,978762.4650000001
131.294389,-25.8959215,619.5799999999999,978758.63
131.376472,-25.900106,640.65,978755.0
131.433792,-25.914016,667.45,978755.38
131.516518,-25.909959,623.91,978765.19
131.576,-25.894974,626.32,978762.88
131.64297,-25.906524,631.35,978761.88
131.68601999999998,-25.904968,623.395,978762.38
131.75962399999997,-25.903162000000002,613.98,978765.25
131.8314245,-25.880802,603.415,978763.595
131.901298,-25.903747,592.35,978773.19
131.962607,-25.87477,578.55,978778.12
132.037847,-25.900159000000002,582.7149999999999,978780.2150000001
132.083808,-25.902052,581.91,978785.31
132.169495,-25.896899,576.15,978778.38
132.2412975,-25.899568000000002,578.085,978777.2150000001
132.27849500000002,-25.895268,578.76,978775.62
132.365942,-25.899967,574.78,978775.88
132.443149,-25.888166,563.395,978780.7150000001
132.483593,-25.909645,564.62,978781.69
132.568392,-25.916865,567.78,978782.0
132.62024200000002,-25.9158225,561.8399999999999,978784.2849999999
132.6990355,-25.894332,571.5,978787.845
132.768255,-25.895384,548.74,978800.38
132.83219,-25.896817499999997,541.2449999999999,978804.62
132.898644,-25.89792,553.49,978805.88
132.968216,-25.898416,550.48,978804.88
133.033681,-25.890249,544.225,978806.75
133.09847,-25.890931000000002,554.335,978813.38
133.148416,-25.891667,557.26,978812.69
133.242055,-25.895229,522.84,978824.12
133.303209,-25.903412,500.76,978836.155
133.337636,-25.889483,497.77,978838.5
133.413473,-25.8974115,491.88,978845.44
133.501831,-25.904639,474.65,978856.845
133.5775505,-25.8938365,463.84000000000003,978866.62
133.641798,-25.91806,471.1,978869.69
133.702082,-25.9064895,492.265,978866.69
133.760148,-25.921885,474.41,978875.62
133.8216355,-25.907092,459.12,978878.9650000001
133.893781,-25.898554,427.15,978887.5
133.9610055,-25.908223,413.75,978892.81
134.03510999999997,-25.890987000000003,391.46000000000004,978899.155
134.0878645,-25.897302,382.645,978903.69
134.172609,-25.900221,371.15,978906.62
134.238108,-25.8930505,368.415,978904.19
134.345192,-25.9056295,336.62,978913.655
134.434106,-25.913719,322.0,978916.69
134.5200255,-25.900468,293.54499999999996,978919.655
134.59136,-25.9087975,262.56,978927.81
134.6882735,-25.909547,227.155,978934.2849999999
134.766938,-25.900966,215.965,978939.095
134.90727199999998,-25.903959999999998,200.69,978941.095
135.039601,-25.901874,194.05,978945.69
135.097355,-25.915123,191.055,978948.0
135.15777,-25.890212,188.75,978948.12
